ID,Prediction
1,Iris-setosa
2,Iris-setosa
3,Iris-setosa
4,Iris-setosa
5,Iris-setosa
6,Iris-setosa
7,Iris-setosa
8,Iris-setosa
9,Iris-setosa
10,Iris-setosa
11,Iris-setosa
12,Iris-setosa
13,Iris-setosa
14,Iris-setosa
15,Iris-setosa
16,Iris-setosa
17,Iris-setosa
18,Iris-setosa
19,Iris-setosa
20,Iris-setosa
21,Iris-setosa
22,Iris-setosa
23,Iris-setosa
24,Iris-setosa
25,Iris-setosa
26,Iris-setosa
27,Iris-setosa
28,Iris-setosa
29,Iris-setosa
30,Iris-setosa
31,Iris-setosa
32,Iris-setosa
33,Iris-setosa
34,Iris-setosa
35,Iris-setosa
36,Iris-setosa
37,Iris-setosa
38,Iris-setosa
39,Iris-setosa
40,Iris-setosa
41,Iris-setosa
42,Iris-setosa
43,Iris-setosa
44,Iris-setosa
45,Iris-setosa
46,Iris-setosa
47,Iris-setosa
48,Iris-setosa
49,Iris-setosa
50,Iris-setosa
